మరణించడంతో	కన్నీరుమున్నీరుగా
కన్నీరుమున్నీరుగా	విలపిస్తున్న
పెద్ద	శూన్యం
పట్ల	తీవ్ర
తీవ్ర	విచారం
దుష్ప్రభావాన్ని	ముందుగా
తీవ్ర	అభ్యంతరం
శోకసంధ్రమైన	తమిళనాడు
తుఫానుగా	మారితే
నిర్వహణకు	తీవ్ర
తీవ్ర	ఇబ్బందులకు
టెన్షన్	ఒకే
విదేశీ	దెబ్బ
తాత్కాలికంగా	తప్పని
పెనుతుఫానుగా	వార్ధా
గుండెకి	తీవ్రంగా
తీవ్రంగా	ముప్పు
దేశవ్యాప్తంగా	కలకలం
నల్ల	కుబేరులకు
నల్ల	కుబేరుల
రాష్ట్రాల	ఘననివాళి
భారీ	భూకంపం
మళ్ళీ	గాలి
కన్నీటి	సాగారమైన
సాగారమైన	మెరీనా
తుఫానుకి	గురైన
గురైన	తమిళనాడుకి
ఆరుగురును	దోషులుగా
చెన్నైలో	భారీ
భారీ	వర్షం
వర్షం	కారణంగా
భారీ	వర్షాలతో
పక్షులకు	ప్రాణాంతకంగా
ప్రాణాంతకంగా	పరిణమించిన
దేశవ్యాప్తంగా	నిషేదించింది
తీవ్ర	ఇబ్బందులు
మళ్లీ	దాడి
విదేశీయులను	తీవ్రంగా
తీవ్రంగా	అవమానిస్తున్నారు
వైరలుగా	మారింది
దురుసుగా	మాట్లాడటమే
జాతీయుడు	దారుణమైన
దారుణమైన	వ్యాఖ్యలు
శత్రువులుగా	విభజించడం
ఒకరకమైన	భయం
రెడ్డిని	తీవ్రంగా
తీవ్రంగా	గాయపరిచిన
ఆలస్యంగా	వెలుగు
లాంటి	దారుణాలకు
దాడికి	గురైన
వివక్షకు	బలైన
ఇలాంటి	దాడులను
తీవ్రంగా	నష్టపోతుందని
దాడిగానే	భావిస్తున్నానన్నారు
భయం	వంటి
రద్దీగా	ఉండే
పరిస్థితి	ఆందోళనకరంగా
ఆందోళనకరంగా	ఉందని
ఒక	అనుమానితుడిని
తీవ్రంగా	తాగి
ఉద్యోగుల్ని	అనుమానంగా
అనుమానంగా	చూస్తున్నారు
ముప్పుగా	పరిణమించవచ్చు
సైతం	నిరుపయోగంగా
నిరుపయోగంగా	మారే
వేగంగా	ప్రాణాలు
విషప్రయోగం	కారణంగా
విషం	ఒక్కసారిగా
ఒక్కసారిగా	కుప్పకూల్చగలదని
అర్ధనగ్నంగా	ఉంది
రెడ్	హ్యాండెడుగా
హ్యాండెడుగా	దొరికిపోయారు
సర్వత్రా	తీవ్ర
తీవ్ర	విమర్శలు
ముస్లింలపై	తీవ్ర
తీవ్ర	వ్యాఖ్యలు
ముస్లింలపై	కఠినంగా
కఠినంగా	వ్యవహరిస్తున్నారు
కఠిన	చర్యలు
స్వయంగా	రాజీనామా
జాతి	వివక్షపూరితమైన
వివక్షపూరితమైన	దాడులు
వివక్ష	దాడిగానే
దాడిగానే	పరిణించాలని
టీచర్	తీవ్రమైన
తీవ్రమైన	పరుషపదజాలం
ఘాటుగా	వ్యాఖ్యానించింది
తీవ్రమైన	మాటలతో
ఉన్నపలంగా	దించేయండి
వివక్షపూరితమైన	వ్యాఖ్యలు
విద్వేషంతో	ఓ
కాల్పులతో	ఒక్కసారిగా
ఒక్కసారిగా	భయాందోళనలు
దేశంలో	దారుణంగా
దారుణంగా	విద్వేషపూరిత
భావజాలం	భారీగా
మృతిపై	అనేక
అనేక	అనుమానాలు
పలు	అనుమానాలు
