వదంతులతో	గుండె	ఆగి
గుండె	ఆగి	పలువురి
ఆగి	పలువురి	మృతి
తప్పుడు	ప్రచారం	జరుగుతుంది
అణు	కేంద్రాలకు	పొంచిఉన్న
కేంద్రాలకు	పొంచిఉన్న	ఉగ్రముప్పు
భారి	నష్టాన్ని	తెచ్చారు
సోదరుడి	కూతుళ్ళని	కలుసుకోలేని
కూతుళ్ళని	కలుసుకోలేని	జయలలిత
విచారం	వ్యక్తం	చేసిన
కడతేరని	నోట్ల	కష్టాలు
ఏటిఎంలకు	పోటెత్తిన	జనం
నియంతలా	వ్యవరిస్తున్న	మోడీ
కార్మికుల	నిధులని	దారి
సిఎం	జయలలిత	కన్నుమూత
అర్దరాత్రి	జయలలిత	కన్నుమూత
ప్రభుత్వం	నిర్లక్ష్యం	చేస్తుంది
బస్సుల	రాకపోకలు	నిలిపివేత
ఆర్టీసి	సర్వీసులు	నిలిపివేత
ప్రగతిని	నిర్లక్ష్యం	చేయొద్దు
కరెన్సీ	నోట్లరద్దుతో	సర్కారుకి
తమిళనాట	తీరని	శోకం
ఏళ్ళ	కనిష్టానికి	జారిపోయిన
కనిష్టానికి	జారిపోయిన	కరెన్సీ
అమ్మ	జయలలిత	కన్నుమూత
తమిళుల	అమ్మ	వెళ్లిపోయింది
మహిళల	జోలికి	వస్తే
లోక్	సభలో	నిలదీసిన
సభలో	నిలదీసిన	టీడిపి
నిలదీసిన	టీడిపి	నేత
ఉత్తర	కోస్తాకి	తుఫాను
కోస్తాకి	తుఫాను	గండం
దార్శనిక	నాయకురాలిని	కోల్పోయాం
అమ్మ	మరణానికి	సంతాపం
జయలలిత	అంతిమయాత్రలో	పాల్గొన్న
నిరసన	తెలుపుతున్న	ఉద్యోగులు
పాకిస్తాన్లో	కుప్పకూలిన	విమానం
బహుముఖ	ప్రజ్ఞాశాలిని	కోల్పోయాం
మృతికి	సంతాపం	తెలిపిన
సంతాపం	తెలిపిన	ప్రధాని
పాకిస్తాన్లో	కూలిన	విమానం
అంత్యక్రియలు	శశికళ	చేయడం
శశికళ	చేయడం	బాధ
గిరిజనుల	త్యాగాలకు	న్యాయమెక్కడ
సర్కారుపై	ధ్వజమెత్తిన	జగన్
ముగింపు	సదస్సులో	పేర్కొన్న
కోర్టు	ఉత్తర్వులు	కొట్టివేసిన
ఉత్తర్వులు	కొట్టివేసిన	హైకోర్టు
అధిపతి	త్యాగి	అరెస్టు
నోట్లరద్ధుపై	సమస్య	తీవ్రతని
నిరసనలకు	వేదిక	కాదు
ధ్వజమెత్తిన	రాష్ట్రపతి	ప్రణబ్
ఆహార	వస్తువులకు	తగ్గిన
వస్తువులకు	తగ్గిన	డిమాండ్
మిస్త్రీ	కధ	ముగిసింది
అధికారంలో	ఉన్నా	నల్లధనంపై
ఉన్నా	నల్లధనంపై	చర్యలు
అక్రమ	మార్పులు	సహించం
నల్లధన	డిపాజిట్లు	చూపిస్తే
డిపాజిట్లు	చూపిస్తే	చర్యలు
